,text,sentiment
60,gearing up for the automated vehicle symposium use autoauto for conference related tweets,3
61,will insurance markets be ready shift to product vs personal liability mt nissan autonomous car by,3
62,autonomous car quite potential business case in markets like north america as speeds for every single road is defined even on freeways,4
63,nissan to have an autonomous car by the year sign me up,4
64,the ripple effects of the autonomous car are far reaching but yet to see these possibilities in any major strategic plan,2
65,google reportedly working on its own car considering autonomous taxi service,3
66,so yeah just throwing this out there again would totally be down to beta test an autonomous car,5
67,they re doing good job of not implying the autonomous sentient car that was involved in the accident is not at fault,2
68,musk reluctant to partner with apple google but an android controlled autonomous smart car would be awesome,5
69,autonomous car concept brings business class to the road,3
70,autonomous car study fl among first to embrace technology real business opportunities for state thanks to law by sayfie,3
71,gm mark reuss we have been building and testing autonomous vehicles think google car for years with results in current cars,3
72,morgan stanley has finally put precise date on the autonomous car utopia,3
73,rendell was gonna take uber but if an autonomous car is here it could drive me home ed tell the puc to clarify is legal,3
74,great update good description of existing car autonomous functions by sysconmedia,3
75,shelley stanford autonomous car at stanfordconnects la,3
76,forget autonomous cars for the masses just give people the technology to open car door without singing the vehicle next to them,3
77,where my autonomous car by google driverlesscar,3
78,waiting for lexus presser at ces autonomous car tech hoping to make mandalay bay convention center,3
79,closer than previously expected autonomous horizon nytimes drivers with hands full get backup the car,3
80,rt with toyota executive about the new autonomous lexus project just do not call it robot car,3
81,huge advances in autonomous cars hate parking audi unveiled self driving car that can park itself ces,4
82,toyota showcased autonomous car tech at ces,3
83,the autonomous automobile why the big car makers are letting tesla take the lead with self driving cars,3
84,mt mercedes autonomous long distance drive will this give google car run for its money sayfie,3
85,java powered autonomous car,3
86,connected car tent unique perspectives on the future of connected and autonomous cars sxsw,3
87,just saw an autonomous car in lake charles it was green does anyone know what company it might have been,3
88,one autonomous test car generates gb of camera data per hour vw chief the car must not become data monster,3
89,self driving autonomous car innovationmoha,3
90,finished sf la drive now it la oc in rush hour for meeting can wait for an autonomous google car,5
91,unique concept not sure what to think autonomous car doubles as room in your condo,3
92,rt great article on disabled transportation will opt deliver my autonomous car,4
93,please what an autonomous car,3
94,there is an acceptable level of risk with all new technology but the reality that people will die in autonomous car is hard to accept sxsw,1
95,itu gsma need to accelerate std before the kids hit road itu given keys to autonomous car standards,3
96,autonomous cars uber model letting your car make you money while not using it will you even own car if not for profit future,3
97,the google autonomous car paid visit to nvidia hq pretty cool technology but as person who,5
98,volvo awesome new autonomous self parking car is its own valet,4
99,meeting at the gm offices in palo alto the segway autonomous car has only wheels pic,3
